السياق 02	السياق بأكمله	المتوقع	ضمن الفئة	بين الفئة	قيد
لذا طلبت من صديقتها أن تعيرها [MASK].	أرادت أن تجعل رموشها تبدو سوداء وسميكة حقًا. لذا طلبت من صديقتها أن تعيرها [MASK].	الماسكارا	أحمر الشفاه	قلادة	L
أخيرًا طلب منها التوقف عن وضع [MASK].	اشتكى من أنه بعد أن قبلته، لم يستطع إزالة اللون الأحمر من وجهه. أخيرًا طلب منها التوقف عن وضع [MASK] الشفاه.	أحمر الشفاه	ماسكارا	سوار	H
ثم أدركت أنها لم يكن لديها [MASK].	عرضت إليانور أن تعد للزائر بعض القهوة. ثم أدركت أنها لم يكن لديها [MASK].	فنجان	وعاء	ملعقة	L
بالطبع ، أول شيء فعله هو إسقاط [MASK].	حضرت عمتي بعض حبوب الإفطار لأخي في  أفضل آنية خزف صيني تملكه. بالطبع ، أول شيء فعله هو إسقاط [MASK].	الصَحن	الفنجان	السكين	L
ثم لاحظت أنه ليس لديها [MASK].	في حفل العشاء، تساءلت لماذا لم تتناول والدتي حسائها. ثم لاحظت أنه ليس لديها [MASK].	ملعقة	سكين	وعاء	H
دائمًا ما يعطونك مثل هذه النوعية الرديئة من [MASK].	في مساكن الطلبة ، يمكن أن يكون تقطيع شرايحة اللحم خاصتك بمثابة صراع كبير. دائمًا ما يعطونك مثل هذه النوعية الرديئة من [MASK].	سكين	ملعقة	فنجان	L
لسوء الحظ، طوال الوقت الذي كان فيه هناك لم ير أبدًا [MASK].	سافر إلى السهول الأفريقية، على أمل الحصول على صورة لملك الغابة. لسوء الحظ، طوال الوقت الذي كان فيه هناك لم ير أبدًا [MASK].	الأسد	النمر	باندا	H
أصيب بجروح خطيرة قبل أن يتمكن من قتل [MASK].	كان جورج يتنزه في الهند عندما رأى الحيوان المخطط باللونين البرتقالي والأسود يقفز نحوه. أصيب بجروح خطيرة قبل أن يتمكن من قتل [MASK].	نمر	أسد	قندس	L
انتظر في الطابور ليتمكن من رؤية[MASK].	تساءل ويندي كيف تمكنوا من شحن مثل هذا الحيوان الكبير على طول الطريق من الصين. انتظر في الطابور ليتمكن من رؤية [MASK].	الباندا	قندس	نمر	L
كحل وسط، كانت عادة ما ترتدي زوجًا من [MASK].	أحببت بارب إحساس الأمواج على قدميها، لكنها كرهت المشي حافيت القدمين. كحل وسط، كانت عادة ما ترتدي زوجًا من [MASK].	الصنادل	الأحذية	السراويل القصيرة	H
كانت هذه آخر مرة يشتري فيها زوجًا رخيصًا من [MASK].	بحلول نهاية اليوم، كانت أقدام المتنزٍه شديدة البرودة والرطوبة. كانت هذه آخر مرة يشتري فيها زوجًا رخيصًا من [MASK].	الأحذية	الصنادل	الجينز	L
لكنه استمر في ارتداء نفس [MASK].	اتفق الجميع على أن النوع المغسول بالحجارة كان عتيق الطراز. لكنه استمر في ارتداء نفس [MASK].	الجينز	السراويل القصيرة	الصنادل	H
قرر كيث أخيرًا ارتداء [MASK] قصيرة.	مع تقدم فترة ما بعد الظهر ، أصبح الجو أكثر سخونة وسخونة. قرر كيث أخيرًا ارتداء  [MASK] قصيرة.	السراويل القصيرة	الجينز	الأحذية	L
سأل جاره إذا كان بإمكانه أن يعيره  [MASK].	أراد بابلو قطع الخشب الذي اشتراه لصنع بعض الرفوف. سأل جاره إذا كان بإمكانه أن يعيره  [MASK].	المنشار	المطرقة	مجرفة الحشائش	L
ثم طلبت من بروس تسليمها [MASK].	وضعت تينا  المسمار على الحائط في الموضع التي حددته. ثم طلبت من بروس تسليمها [MASK].	المطرقة	المنشار	المجرفة	H
عندما استيقظ ألبرت، سلمه والده [MASK].	تراكم الثلج عالياً على الطريق لدرجة أنهم لم يتمكنوا من إخراج السيارة. عندما استيقظ ألبرت، سلمه والده [MASK].	المجرفة	مجرفة الحشائش	المنشار	H
قررت إيريكا أن الوقت قد حان لإخراج [MASK].	كانةالفناء مغطا بالكامل بطبقة سميكة من الأوراق الميتة. قررت إيريكا أن الوقت قد حان لإخراج [MASK].	مجرفة الحشائش 	مجرفة	مطرقة	H
بعد خمسة عشر دقيقة ، كان لا يزال يكافح لفتح [MASK].	ذهب فريد إلى المخزن وأخرج الهلام المصنوع منزليًا الذي أحضرته جدته. بعد خمسة عشر دقيقة ، كان لا يزال يكافح لفتح [MASK].	الجرة	العلبة	السحاب 	L
لعب لأيام بعد ذلك بال[MASK].	بعد تفريغ الثلاجة الجديدة، سمحوا لبيلي بالاستمتاع. لعب لأيام بعد ذلك بال[MASK].	الصندوق	الجرة	الزر	L
قررت أنها ستضطر إلى استبدال [MASK].	يبدو أنها يعلق في كل مرة تفتح فيها حقيبتها أو تغلقها. قررت أنها ستضطر إلى استبدال [MASK].	السحاب	الزر	الصندوق	H
انتهى بها الأمر بالبحث في جميع أنحاء المدينة للعثور على [MASK].	سقطت واحدة من سترتها وضاعت ، ولم يكن لديها أخرى إضافية. انتهى بها الأمر بالبحث في جميع أنحاء المدينة للعثور على [MASK].	  زر	سحاب البنطلون	إناء	H
تساءلت والدته لماذا كان يتظاهر بأنه [MASK].	أنا حيوان مثل سيمبا !صاح الطفل. تساءلت والدته لماذا كان يتظاهر بأنه [MASK].	حمار	حمار وحشي	كلب السلوقي	L
شرحت لها أنها ملامح طبيعية ل[MASK] الوحش.	في حديقة الحيوانات ، سألت أختي عما إذا كانوا قد رسموا الخطوط السوداء والبيضاء على الحيوان. شرحت لها أنها ملامح طبيعية ل[MASK] الوحش.	الحمار الوحشي	حمار	تشيهواهوا	H
