الخانة	السياق	المتوقع	المتوقع الأقرب 	الهدف	الهدف الأقرب
100- أ	أكد مذيع الأخبار أي هارب قام الشرطي بـ[MASK].	إلقاء القبض عليه	0.266666667	اعتقاله	0.233333333
101- ب	كشف ملحن الأوبرا عن أي مغني قام القرصان بـ[MASK].	اختطافه/ قتله/ اغتياله	0.066666667	تجسيده	0
101- أ	كشف ملحن الأوبرا عن أي قرصان قام المغني بـ[MASK].	تجسيده	0.2	تجسيده	0.2
102- ب	خمن مأمور السجن أي سجين قام السجان بـ[MASK].	ضربه	0.233333333	طعنه	0
102- أ	خمن مأمور السجن أي سجان قام السجين ب[MASK].	طعنه	0.2	طعنه	0.2
103- ب	لاحظ المنتج  أي من الألعاب البهلوانية التي قام المشاهدون بـ[MASK].	إعجاب بها	0.333333333	الانبهار بها	0
103- أ	لاحظ المنتج  أي من المشاهدين قامت الألعاب البهلوانية بـ[MASK].	إبهارهم	0.2	إبهارهم	0.2
104- ب	تعرفت الملكة على  أي ممثل كوميدي قام  النبيل بـ[MASK].	الإعجاب به	0.133333333	تسليته	0
104- أ	تعرفت الملكة على  أي نبيل قام  الممثل الكوميدي بـ[MASK].	تسليته	0.2	تسليته	0.2
106- ب	حدد عالم القردة أي صياد قام الشمبانزي بـ[MASK].	مهاجمته	0.161290323	إطلاق النار عليه	0
106- أ	حدد عالم القردة أي شمبانزي قام الصياد بـ[MASK].	قتله	0.366666667	إطلاق النار عليه	0.133333333
108- ب	خمّن عضو اللجنة أي رئيس قام المستشارون بـ[MASK].	إختياره	0.166666667	تعينه	0
108- أ	خمّن عضو اللجنة أي مستشارين قام الرئيس بـ[MASK].	تعينه	0.166666667	تعينه	0.166666667
109- ب	أشار المزارع إلى أي شخص من المدينة قام  الحمار بـ[MASK].	ركله	0.466666667	شرائه	0
109- أ	أشار المزارع إلى أي حمار قام شخص من المدينة  بـ[MASK].	سرقته/إمتطائه	0.2	شرائه	0.166666667
110- ب	عرف الرجل العسكري  أي جنرال قام  الجنود بـ[MASK].	إحترامه	0.166666667	ترقيته	0
110- أ	عرف الرجل العسكري  أي الجنود قام الجنرال بـ[MASK].	ترقيته	0.166666667	ترقيته	0.166666667
111- ب	أكد ضابط الإفراج المشروط أي طبيب نفسي  قام المجرم بـ[MASK].	 متابعته	0.233333333	معالجته	0
111- أ	أكد ضابط الإفراج المشروط أي مجرم قام الطبيب النفسي  بـ[MASK].	متابعته	0.233333333	معالجته	0.166666667
112- ب	عرف الشرطي أي محقق قام المشتبه به بـ[MASK].	خشيته	0.133333333	إعتقاله	0
112- أ	عرف الشرطي أي مشتبه به  قام المحقق بـ[MASK].	إعتقاله	0.166666667	إعتقاله	0.166666667
114- ب	لاحظ جاك أي سائق قام الراكب بـ[MASK].	تحدث إليه	0.1	إزالته	0
114- أ	لاحظ جاك أي راكب قام السائق بـ[MASK].	طرده /  إزالته	0.133333333	إزالته	0.133333333
115- ب	عرفت تيريزا أي ببغاء قام الجار بـ[MASK].	شرائه	0.4	ضربه	0
115- أ	عرفت تيريزا أي جار قام الببغاء بـ[MASK].	ضربه/ تقليده	0.133333333	ضربه	0.133333333
116- ب	حدد الناقد الفني أي فنان قام  العارض بـ[MASK].	العرض له	0.4	رسمه	0
116- أ	حدد الناقد الفني أي عارض قام  الفنان بـ[MASK].	رسمه	0.366666667	رسمه	0.2
117- ب	تساءل مزارع القطن عن أي عبد قام السيد بـ[MASK].	ضربه	0.266666667	تهريبه	0
117- أ	تساءل مزارع القطن عن أي سيد قام العبد بـ[MASK].	قتله	0.133333333	تهريبه	0.033333333
118- ب	سجل المزارع إلى أي مربي [MASK] الماعز .	تنتمي / أتت	0.133333333	بيعت	0
118- أ	سجل المزارع أي ماعز قام المربي بـ[MASK].	تربيتها	0.233333333	بيعها	0.133333333
119- ب	عرف الطفل البالغ من العمر أربع سنوات أي تنين قام  البطل بـ[MASK].	قتله	0.766666667	أكله	0
119- أ	عرف الطفل البالغ من العمر أربع سنوات أي بطل قام  التنين بـ[MASK].	قتله	0.333333333	أكله	0.133333333
